connector_name,connector_url,type,name,description,attributes
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Monitor changes in a record,Monitor changes in a record in Salesforce,"{""badge"": ""Real-time""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New record,New record in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New record,New record in Salesforce,"{""badge"": ""Real-time""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New Outbound message,New Outbound message in Salesforce,"{""badge"": ""Real-time""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New platform event,New  event in Salesforce,"{""badge"": ""Real-time""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New PushTopic event,New PushTopic event in Salesforce,"{""badge"": ""Real-time""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Export new records,Export new records in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Export new/updated records,Export new/updated records in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Scheduled record search using SOQL query WHERE clause,Scheduled  record search using SOQL query WHERE clause in Salesforce,"{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Scheduled records search using SOQL query,Scheduled records search using SOQL query in Salesforce,"{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New records,"        New  records 
        in Salesforce
","{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New/updated records,"        New/updated  records 
        in Salesforce
","{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Threshold met for new records created,"        Threshold met for new records
        created in Salesforce
","{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,trigger,Deleted record,Record deleted in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New/updated record,New/updated record in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,trigger,New/updated record,New/updated record in Salesforce,"{""badge"": ""Real-time""}"
Salesforce,https://www.workato.com/integrations/salesforce,action,Custom action,Custom action in Salesforce (Custom),{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Approve record in approval process,Approve a record in approval process in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Create records in batches,Create records in batches in Salesforce,"{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,action,Update records in batches,Update records in batches in Salesforce,"{""badge"": ""Batch""}"
Salesforce,https://www.workato.com/integrations/salesforce,action,Create record,Create record in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Publish platform event,Publish platform event in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Delete record,Delete record in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Download attachment,Download attachment from Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Download file,Download file from Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Get record details by ID,Get details of specific record in Salesforce,{}
Salesforce,https://www.workato.com/integrations/salesforce,action,Get related list by parent record ID,Get list of related records in Salesforce,"{""badge"": ""Batch""}"
